id,title,filename,studio,category,duration_min,pattern_type,pattern_match,series_name,performers
28272,Christy Love X Hailey Morning Threesome,haileyrose fcks fansly 3some sextape w christy.mp4,Hailey Rose,Western,18,Roman,X,Christy Love  Hailey Morning Threesome,Max Fills; Hailey Rose; Christy Love; FAV
28184,Free Use Families Scene 2 - Seduce Me,[RealityJunkies] Dakota Tyler - Free Use Families - Seduce Me.mp4,Reality Junkies,Japanese,26,Scene,Scene 2,Free Use Families  - Seduce Me,Mike Mancini; Dakota Tyler
28185,Let's Bang The Babysitter 8 - Scene 2,[ZeroTolerance] Dakota Tyler & Jennifer White - Lets Bang The Babysitter 8 - 1080p.mp4,Zero Tolerance Films,Western,30,Scene,Scene 2,Let's Bang The Babysitter 8,Mike Mancini; Jennifer White; Dakota Tyler
28183,March 2023 Flavor Of The Month Dakota Tyler - S3:E8,[PrincessCum] Dakota Tyler - Flavour of the Month - 03.01.23 - 1080p.mp4,Princess Cum,Western,26,Season/Episode,S3:E8,March 2023 Flavor Of The Month Dakota Tyler,Ricky Spanish; Dakota Tyler
28186,Toxic Friends - Scene 3,[ZeroTolerance] Dakota Tyler - Toxic Friends - Scene 3 - 1080p.mp4,Zero Tolerance Films,Western,29,Scene,Scene 3,Toxic Friends,Alex Mack; Dakota Tyler
28174,Petites Like It Big Scene 2,"Dakota Tyler -- @ZeroTolerance -- Petites Like It Big -- 2023-04-25 [1080p, x265].mp4",Zero Tolerance Films,Western,31,Scene,Scene 2,Petites Like It Big,Alex Legend; Dakota Tyler
28173,Nymphomaniac II,[MissaX] 2022-11-19 Dakota Tyler - Nymphomaniac II [1080p x265] [avsubtitles.com] spanish english subtitles.mkv,MissaX,Western,46,Roman,II,Nymphomaniac,Ricky Spanish; Dakota Tyler
28166,Step Sis Makes Me Cum - S14:E9,stepsiblingscaught_step_sis_makes_me_cum_1920.mp4,Step Siblings Caught,Western,32,Season/Episode,S14:E9,Step Sis Makes Me Cum,Tristan Summers
28160,Step Sis Has The Best Cookies - S18:E5,brattysis.tristan.sum.1080.mp4,Bratty Sis,Western,26,Season/Episode,S18:E5,Step Sis Has The Best Cookies,Connor Kennedy; Tristan Summers; Kinsley Kane
28159,You Saw Mine Now I Wanna See Yours - S19:E7,[StepSiblingsCaught] Tristan Summers - You Saw Mine Now I Wanna See Yours(January 23.2022).mp4,Step Siblings Caught,Western,23,Season/Episode,S19:E7,You Saw Mine Now I Wanna See Yours,Tristan Summers; Chase Arcangel
